CustomerID,Age,AnnualIncome_k,SpendingScore,PurchaseFrequency,RecencyDays,AvgOrderValue,TrueSegment,Gender,PreferredCategory,Cluster,Segment,PC1,PC2
CUST00480,60,85.9,5.7,2.0,155.0,97.73,At-Risk / Dormant,Male,Apparel,0,At-Risk / Dormant,-0.9500256995342031,3.669686991344135
CUST00551,27,28.2,67.1,15.0,26.0,24.17,New & Curious,Male,Home & Living,4,New & Curious,-0.6397060309000795,-1.7717086946638723
CUST00210,33,52.2,74.3,19.0,57.0,77.1,Steady Regulars,Female,Apparel,1,Steady Regulars,0.5859229265955664,-0.6114810492987998
CUST00111,28,83.9,89.1,29.0,15.0,143.04,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,2.8061834391294473,-0.738892106783687
CUST00512,40,90.2,33.3,3.0,169.0,72.33,At-Risk / Dormant,Female,Apparel,0,At-Risk / Dormant,-1.0156402145333943,2.1427184393358085
CUST00211,34,60.0,54.2,16.0,50.0,79.76,Steady Regulars,Male,Electronics,1,Steady Regulars,0.2749319769752569,-0.15112635815382108
CUST00159,34,65.7,63.5,10.0,21.0,64.85,Steady Regulars,Male,Apparel,1,Steady Regulars,0.24040698553779122,-0.5093555720629503
CUST00166,31,39.9,62.4,13.0,43.0,107.9,Steady Regulars,Male,Beauty,1,Steady Regulars,0.22855842705695684,-0.5409118328022158
CUST00363,37,38.2,35.9,7.0,77.0,42.23,Budget Browsers,Male,Apparel,3,Budget Browsers,-1.425762385789867,0.10183912698470934
CUST00524,57,76.7,31.8,4.0,173.0,100.43,At-Risk / Dormant,Male,Sports,0,At-Risk / Dormant,-0.6490767597719899,3.142973268681376
CUST00077,42,95.8,90.7,23.0,1.0,163.69,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,3.2604185016035423,0.269373351070619
CUST00447,38,80.2,17.3,2.0,162.0,79.39,At-Risk / Dormant,Female,Electronics,0,At-Risk / Dormant,-1.4439756286009133,2.1363541806204607
CUST00003,46,86.8,89.5,25.0,22.0,125.36,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,2.7183355507312412,0.2829416785191944
CUST00378,35,72.7,33.5,5.0,85.0,56.8,Budget Browsers,Female,Electronics,3,Budget Browsers,-0.9282866366286978,0.7037164918938305
CUST00272,25,75.5,67.9,18.0,49.0,56.11,Steady Regulars,Female,Electronics,1,Steady Regulars,0.4904041458385834,-0.8480808100920665
CUST00293,26,31.3,27.1,7.0,110.0,12.55,Budget Browsers,Male,Apparel,3,Budget Browsers,-2.413317916621002,-0.3689710996367954
CUST00450,62,77.5,26.8,7.0,160.0,76.55,At-Risk / Dormant,Male,Sports,0,At-Risk / Dormant,-0.6612065550313004,3.174777393459018
CUST00646,34,66.6,68.5,9.0,13.0,60.02,New & Curious,Female,Home & Living,1,Steady Regulars,0.29164308802416733,-0.6681784890421305
CUST00091,42,85.5,73.0,31.0,8.0,139.26,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,2.8815536493751086,0.18102422277734864
CUST00498,49,80.6,41.3,2.0,167.0,61.75,At-Risk / Dormant,Male,Beauty,0,At-Risk / Dormant,-1.0312932805668105,2.3074115317826887
CUST00319,26,41.7,37.1,9.0,88.0,40.86,Budget Browsers,Male,Apparel,3,Budget Browsers,-1.5075843525260473,-0.4102086364682956
CUST00031,37,102.5,81.9,28.0,1.0,142.67,High-Value Loyalists,Other,Beauty,2,High-Value Loyalists,3.1645009750990867,0.001522323472769418
CUST00329,22,20.7,34.7,4.0,103.0,51.87,Budget Browsers,Male,Home & Living,3,Budget Browsers,-2.208783736933078,-0.5959704454793829
CUST00177,26,32.5,51.0,6.0,18.0,53.29,Steady Regulars,Male,Home & Living,4,New & Curious,-0.996296729158315,-1.270984134834447
CUST00432,41,88.2,17.5,0.0,176.0,89.44,At-Risk / Dormant,Male,Apparel,0,At-Risk / Dormant,-1.3411870115596114,2.637124200055479
CUST00045,31,97.1,77.3,33.0,9.0,123.78,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,2.9011494620064378,-0.4606752285779749
CUST00265,42,67.7,58.8,13.0,41.0,51.97,Steady Regulars,Female,Home & Living,1,Steady Regulars,0.21870804850024259,0.08584369645100016
CUST00079,42,86.4,100.0,29.0,23.0,133.7,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,3.1342689662698486,-0.08817818836681279
CUST00448,44,55.2,12.0,0.0,165.0,79.32,At-Risk / Dormant,Female,Apparel,0,At-Risk / Dormant,-1.9820684872028256,2.261223255436299
CUST00102,39,106.0,76.0,28.0,25.0,131.67,High-Value Loyalists,Male,Apparel,2,High-Value Loyalists,2.880299279777881,0.3951758872375182
CUST00311,37,41.6,35.6,4.0,74.0,47.28,Budget Browsers,Female,Apparel,3,Budget Browsers,-1.4612142941203514,0.20114024821596604
CUST00441,43,55.9,33.7,3.0,174.0,102.7,At-Risk / Dormant,Female,Home & Living,0,At-Risk / Dormant,-1.2313068807439216,2.0958479664231233
CUST00451,36,61.6,31.0,1.0,130.0,102.63,At-Risk / Dormant,Female,Apparel,0,At-Risk / Dormant,-1.1388181780904165,1.4439302349727792
CUST00421,49,91.7,31.3,0.0,137.0,82.75,At-Risk / Dormant,Female,Apparel,0,At-Risk / Dormant,-0.7244264479609686,2.506379782350913
CUST00559,31,46.8,79.5,13.0,31.0,54.82,New & Curious,Female,Electronics,1,Steady Regulars,0.15926298459627194,-1.193841972113686
CUST00164,41,51.1,61.2,18.0,35.0,58.83,Steady Regulars,Male,Electronics,1,Steady Regulars,0.3471667002103328,-0.3073666780644438
CUST00495,53,74.4,22.6,0.0,151.0,66.97,At-Risk / Dormant,Female,Electronics,0,At-Risk / Dormant,-1.3621888605803696,2.641738341657231
CUST00066,51,104.1,78.0,30.0,13.0,117.72,High-Value Loyalists,Female,Beauty,2,High-Value Loyalists,3.1181108718357344,0.7638838292110067
CUST00347,23,15.0,30.2,1.0,105.0,39.41,Budget Browsers,Female,Apparel,3,Budget Browsers,-2.6762332768202564,-0.5794614565292332
CUST00050,29,81.3,79.9,24.0,20.0,140.45,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,2.28536345457561,-0.48389009810920813
CUST00412,31,44.1,42.8,10.0,84.0,43.21,Budget Browsers,Female,Beauty,3,Budget Browsers,-1.174936560352996,-0.22182626067230726
CUST00219,29,40.5,60.3,14.0,29.0,72.61,Steady Regulars,Female,Sports,1,Steady Regulars,-0.07509198208994523,-1.0055510146069924
CUST00040,43,76.8,76.4,31.0,1.0,115.09,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,2.5985827666515235,-0.17061594502787122
CUST00205,29,56.8,50.0,18.0,34.0,65.08,Steady Regulars,Male,Apparel,1,Steady Regulars,0.10698850356446661,-0.687681862608211
CUST00323,21,49.1,39.8,6.0,96.0,31.56,Budget Browsers,Female,Electronics,3,Budget Browsers,-1.7287782717762992,-0.5769414297953334
CUST00007,53,117.4,94.8,28.0,3.0,147.4,High-Value Loyalists,Female,Beauty,2,High-Value Loyalists,3.9586437947176965,0.9454147825960335
CUST00590,20,37.1,62.7,12.0,1.0,40.35,New & Curious,Female,Electronics,4,New & Curious,-0.5207066098512263,-2.0482388070628272
CUST00530,44,67.5,37.3,10.0,138.0,89.41,At-Risk / Dormant,Female,Apparel,0,At-Risk / Dormant,-0.5031043950062088,1.7302474664955831
CUST00609,35,26.5,49.7,9.0,37.0,34.14,New & Curious,Female,Apparel,1,Steady Regulars,-1.1331535592878808,-0.8350563205219911
CUST00422,68,67.4,17.0,0.0,150.0,80.82,At-Risk / Dormant,Female,Beauty,0,At-Risk / Dormant,-1.1728683419752055,3.5482971347907917
CUST00572,18,56.3,65.9,7.0,4.0,49.04,New & Curious,Male,Home & Living,4,New & Curious,-0.3668538612805165,-1.7878915998515583
CUST00313,26,29.8,48.6,5.0,109.0,18.16,Budget Browsers,Male,Home & Living,3,Budget Browsers,-2.0820082475090635,-0.6577632308776871
CUST00405,33,46.4,42.4,10.0,108.0,18.72,Budget Browsers,Male,Electronics,3,Budget Browsers,-1.5235408506316528,-0.02347048088847219
CUST00087,48,70.7,85.4,25.0,9.0,163.26,High-Value Loyalists,Male,Apparel,2,High-Value Loyalists,2.8986396876516354,0.38292265503687417
CUST00258,34,30.7,63.1,11.0,41.0,88.5,Steady Regulars,Female,Electronics,1,Steady Regulars,-0.16458827037949225,-0.6405245394703603
CUST00266,31,60.1,57.0,15.0,35.0,58.64,Steady Regulars,Male,Apparel,1,Steady Regulars,0.0891454483539903,-0.6339720303087379
CUST00604,18,32.0,84.3,11.0,22.0,28.39,New & Curious,Male,Home & Living,4,New & Curious,-0.5541067889673679,-2.4308885324423386
CUST00110,41,104.3,87.1,27.0,32.0,149.49,High-Value Loyalists,Female,Sports,2,High-Value Loyalists,3.1860483481859445,0.5193369931141907
CUST00149,45,104.8,76.9,27.0,5.0,158.1,High-Value Loyalists,Female,Sports,2,High-Value Loyalists,3.334360940525262,0.710709327751053
CUST00042,43,105.3,84.4,32.0,32.0,143.12,High-Value Loyalists,Male,Beauty,2,High-Value Loyalists,3.3839760999262367,0.5716601351466354
CUST00351,39,20.2,43.5,0.0,100.0,21.26,Budget Browsers,Male,Electronics,3,Budget Browsers,-2.2930950381827944,0.012012811627106252
CUST00449,55,76.6,20.4,2.0,154.0,88.34,At-Risk / Dormant,Female,Beauty,0,At-Risk / Dormant,-1.0136821795516135,2.967950992069266
CUST00057,36,101.2,81.8,26.0,12.0,143.33,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,2.956691870415471,0.0643995802043266
CUST00647,21,55.1,70.3,9.0,24.0,65.9,New & Curious,Female,Electronics,4,New & Curious,-0.0905760863114049,-1.4261993224963567
CUST00345,27,59.9,21.5,0.0,103.0,27.46,Budget Browsers,Male,Sports,3,Budget Browsers,-2.191750839804561,0.2965472858073894
CUST00269,27,59.8,60.7,15.0,26.0,70.64,Steady Regulars,Female,Beauty,1,Steady Regulars,0.2701797500471951,-0.9140153496528145
CUST00146,47,86.7,88.7,26.0,3.0,149.73,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,3.1530029286631285,0.3307949562068092
CUST00536,55,64.6,15.9,3.0,163.0,92.84,At-Risk / Dormant,Other,Electronics,0,At-Risk / Dormant,-1.250164017428943,2.97462887484383
CUST00109,43,100.3,83.2,29.0,1.0,131.72,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,3.1880145929264083,0.19208478335423393
CUST00025,38,98.3,71.9,33.0,31.0,149.33,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,3.079446211677542,0.4104641320198973
CUST00119,49,89.7,93.8,22.0,8.0,149.88,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,3.0883632226839444,0.5067260799435811
CUST00134,45,80.1,89.2,35.0,1.0,155.66,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,3.5740074315551995,0.024358272404836973
CUST00320,29,31.5,30.1,7.0,112.0,15.1,Budget Browsers,Female,Home & Living,3,Budget Browsers,-2.2889757880954194,-0.20926743489010835
CUST00632,18,34.6,52.3,7.0,14.0,47.63,New & Curious,Female,Sports,4,New & Curious,-1.0555463701769263,-1.7948094501671856
CUST00083,52,95.5,60.8,28.0,6.0,124.94,High-Value Loyalists,Male,Sports,2,High-Value Loyalists,2.690111025490417,0.9751636569354029
CUST00481,50,74.6,22.2,6.0,164.0,104.68,At-Risk / Dormant,Male,Apparel,0,At-Risk / Dormant,-0.7708067386619817,2.7922294405838612
CUST00168,31,62.1,63.5,13.0,40.0,48.72,Steady Regulars,Female,Electronics,1,Steady Regulars,-0.0024477450234421136,-0.7017498719019518
CUST00078,39,82.1,83.8,28.0,33.0,132.16,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,2.5819767144793144,0.028776933213446963
CUST00522,53,75.6,29.8,7.0,170.0,101.36,At-Risk / Dormant,Female,Electronics,0,At-Risk / Dormant,-0.5834293471204219,2.8753785396421194
CUST00071,44,122.8,82.2,23.0,27.0,132.24,High-Value Loyalists,Male,Beauty,2,High-Value Loyalists,3.086068244621819,0.8970646943412873
CUST00394,26,37.3,46.3,8.0,108.0,56.65,Budget Browsers,Female,Apparel,3,Budget Browsers,-1.417982472669501,-0.29767276638672413
CUST00332,25,61.8,30.9,5.0,83.0,19.71,Budget Browsers,Female,Apparel,3,Budget Browsers,-1.7145030621699269,-0.23950043897191836
CUST00354,18,33.7,34.0,1.0,115.0,24.26,Budget Browsers,Male,Home & Living,3,Budget Browsers,-2.605097281445274,-0.6718982925673351
CUST00133,34,114.0,79.3,30.0,17.0,132.66,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,3.1565000682087305,0.08358426143034788
CUST00061,38,101.9,87.2,29.0,5.0,137.2,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,3.238326387232063,-0.046687412645255784
CUST00213,31,73.1,52.2,20.0,32.0,28.17,Steady Regulars,Female,Beauty,1,Steady Regulars,0.172595638606065,-0.6951916461747686
CUST00580,26,43.7,64.4,8.0,19.0,52.21,New & Curious,Female,Apparel,4,New & Curious,-0.47463160638278434,-1.3464368070639294
CUST00335,26,15.0,26.8,2.0,119.0,38.38,Budget Browsers,Female,Apparel,3,Budget Browsers,-2.7328883007753078,-0.2524278167610361
CUST00341,18,15.0,43.3,4.0,91.0,61.24,Budget Browsers,Female,Apparel,3,Budget Browsers,-2.03718805536369,-1.070615796440739
CUST00620,39,55.2,66.4,8.0,20.0,59.94,New & Curious,Other,Electronics,1,Steady Regulars,0.05020610091672755,-0.4375909903517467
CUST00136,52,71.6,82.7,29.0,18.0,167.7,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,3.136431125317129,0.7184296966002554
CUST00216,40,35.5,45.8,15.0,48.0,59.66,Steady Regulars,Other,Electronics,1,Steady Regulars,-0.44408191735486674,-0.17454643844489653
CUST00516,52,63.6,19.9,3.0,175.0,116.73,At-Risk / Dormant,Male,Home & Living,0,At-Risk / Dormant,-1.0600842395957357,3.0159071215989717
CUST00376,29,51.5,22.8,6.0,108.0,45.82,Budget Browsers,Male,Sports,3,Budget Browsers,-1.7872224443546223,0.36827188274025785
CUST00370,19,34.4,30.5,5.0,87.0,31.86,Budget Browsers,Male,Beauty,3,Budget Browsers,-2.172567285073761,-0.8155534463709959
CUST00245,22,45.1,70.1,12.0,32.0,61.9,Steady Regulars,Female,Beauty,4,New & Curious,-0.17691655048493637,-1.4987159501769087
CUST00603,24,65.9,58.3,8.0,24.0,64.44,New & Curious,Male,Sports,4,New & Curious,-0.1502044946478107,-0.9280473330095228
CUST00334,31,41.0,36.5,5.0,98.0,32.38,Budget Browsers,Male,Sports,3,Budget Browsers,-1.8123268627818065,-0.04722737860705381
CUST00030,39,127.6,88.3,31.0,25.0,149.31,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,3.8163676175876593,0.5881836640556275
CUST00554,30,25.7,57.4,5.0,33.0,47.39,New & Curious,Male,Electronics,4,New & Curious,-1.1339910852009314,-1.1281961648165515
CUST00287,21,27.7,47.3,16.0,42.0,44.19,Steady Regulars,Male,Home & Living,4,New & Curious,-0.9435583299198883,-1.5323067592207695
CUST00426,51,60.6,33.2,2.0,144.0,101.09,At-Risk / Dormant,Male,Apparel,0,At-Risk / Dormant,-0.9120127763281911,2.3316405366411024
CUST00292,24,32.4,33.6,5.0,100.0,21.06,Budget Browsers,Female,Home & Living,3,Budget Browsers,-2.261607857114983,-0.5688863900441808
CUST00381,30,34.3,38.3,4.0,108.0,25.91,Budget Browsers,Female,Home & Living,3,Budget Browsers,-2.0926044493333142,-0.1602338763833804
CUST00582,23,32.4,61.7,9.0,40.0,37.08,New & Curious,Female,Electronics,4,New & Curious,-1.0033411476134033,-1.5502836084623206
CUST00431,51,59.1,22.9,3.0,159.0,88.66,At-Risk / Dormant,Female,Home & Living,0,At-Risk / Dormant,-1.3006392924944452,2.5055994064561533
CUST00209,33,59.0,63.7,12.0,23.0,44.9,Steady Regulars,Female,Home & Living,1,Steady Regulars,-0.005723612259016675,-0.8088192762066617
CUST00291,25,21.7,28.2,6.0,100.0,8.0,Budget Browsers,Other,Home & Living,3,Budget Browsers,-2.610060009002374,-0.6839834285603972
CUST00321,26,43.4,43.1,2.0,116.0,50.71,Budget Browsers,Female,Electronics,3,Budget Browsers,-1.8084236848951873,-0.0522486932587253
CUST00333,18,42.7,29.8,4.0,90.0,34.65,Budget Browsers,Female,Apparel,3,Budget Browsers,-2.105896111974009,-0.685574904230552
CUST00193,34,44.1,64.3,14.0,25.0,58.81,Steady Regulars,Male,Sports,1,Steady Regulars,0.018561103573562356,-0.8759376347174302
CUST00610,22,35.6,57.5,10.0,2.0,42.07,New & Curious,Male,Electronics,4,New & Curious,-0.7017130468994127,-1.8309203975280965
CUST00445,64,75.6,20.1,0.0,138.0,96.48,At-Risk / Dormant,Male,Home & Living,0,At-Risk / Dormant,-0.8033277030590256,3.3913449082126306
CUST00382,27,38.4,38.0,3.0,102.0,60.79,Budget Browsers,Female,Electronics,3,Budget Browsers,-1.7198053712003605,-0.06074292822218765
CUST00306,35,38.4,33.1,9.0,82.0,55.11,Budget Browsers,Female,Home & Living,3,Budget Browsers,-1.2931773573948995,0.14741165871121423
CUST00239,28,47.2,50.6,13.0,44.0,64.25,Steady Regulars,Male,Home & Living,1,Steady Regulars,-0.3955690649527467,-0.7280850640861307
CUST00631,29,43.7,62.7,8.0,32.0,49.53,New & Curious,Female,Home & Living,4,New & Curious,-0.5648213014527359,-1.0526676525545136
CUST00105,40,76.8,77.5,29.0,1.0,161.31,High-Value Loyalists,Female,Sports,2,High-Value Loyalists,2.9610369988808305,0.0015268387922488583
CUST00115,40,92.0,85.3,32.0,12.0,130.81,High-Value Loyalists,Male,Home & Living,2,High-Value Loyalists,3.1196015266700994,-0.06311292580355214
CUST00156,30,58.6,67.4,8.0,42.0,45.7,Steady Regulars,Female,Apparel,1,Steady Regulars,-0.316822040561627,-0.7990259994195825
CUST00222,25,50.6,66.3,12.0,14.0,54.5,Steady Regulars,Male,Apparel,4,New & Curious,-0.07313968593637654,-1.4207307204546433
CUST00008,47,100.7,76.1,25.0,1.0,142.77,High-Value Loyalists,Male,Sports,2,High-Value Loyalists,3.0379334461016514,0.6584027540549049
CUST00249,26,55.2,59.9,19.0,53.0,67.71,Steady Regulars,Female,Apparel,1,Steady Regulars,0.17592080971648788,-0.8428197368430929
CUST00487,38,71.7,37.5,3.0,181.0,72.05,At-Risk / Dormant,Female,Beauty,0,At-Risk / Dormant,-1.3572565111288768,1.8260003210425468
CUST00337,23,25.5,35.0,0.0,102.0,33.03,Budget Browsers,Other,Home & Living,3,Budget Browsers,-2.516674112906223,-0.5685008920873882
CUST00639,26,37.3,66.9,9.0,1.0,47.15,New & Curious,Male,Beauty,4,New & Curious,-0.4249832532963653,-1.6890247606500663
CUST00330,21,36.7,17.3,6.0,77.0,29.99,Budget Browsers,Female,Sports,3,Budget Browsers,-2.248630362330049,-0.5937565812833501
CUST00322,37,31.0,25.3,6.0,107.0,52.54,Budget Browsers,Female,Sports,3,Budget Browsers,-1.8685074747828243,0.5306247259981534
CUST00290,37,34.8,56.1,16.0,26.0,85.66,Steady Regulars,Female,Apparel,1,Steady Regulars,0.15369774158896776,-0.5404419606123823
CUST00141,43,92.5,85.8,28.0,1.0,152.31,High-Value Loyalists,Female,Sports,2,High-Value Loyalists,3.275298638952274,0.20558689454832482
CUST00214,34,46.3,47.9,12.0,23.0,50.88,Steady Regulars,Female,Apparel,1,Steady Regulars,-0.4265101508997831,-0.6452323294889243
CUST00044,39,80.1,76.9,25.0,1.0,120.85,High-Value Loyalists,Male,Apparel,2,High-Value Loyalists,2.3381413164857316,-0.23216544915685522
CUST00043,41,97.6,84.4,28.0,9.0,144.07,High-Value Loyalists,Female,Apparel,2,High-Value Loyalists,3.1620486813380135,0.20223528689485878
CUST00074,52,75.6,91.6,30.0,8.0,134.56,High-Value Loyalists,Male,Apparel,2,High-Value Loyalists,3.1240901247836073,0.2965708511348371
CUST00583,18,41.1,68.5,8.0,1.0,60.54,New & Curious,Male,Electronics,4,New & Curious,-0.3758668166921415,-1.9948572843518717
CUST00606,30,40.2,56.3,10.0,18.0,42.73,New & Curious,Male,Sports,4,New & Curious,-0.6042999641067268,-1.1540965187961103
CUST00067,41,85.7,84.2,30.0,9.0,144.01,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,3.0661410751720095,0.015325892124501828
CUST00012,38,104.4,93.0,28.0,11.0,141.83,High-Value Loyalists,Female,Home & Living,2,High-Value Loyalists,3.346341054322316,0.0018740948854016155
CUST00200,31,45.6,80.1,11.0,53.0,98.84,Steady Regulars,Female,Electronics,1,Steady Regulars,0.3830698380079806,-0.6751178271864148
CUST00528,52,56.2,16.1,3.0,167.0,108.74,At-Risk / Dormant,Male,Apparel,0,At-Risk / Dormant,-1.2899134429246253,2.8411832784755706
CUST00605,30,35.4,62.2,10.0,8.0,39.52,New & Curious,Male,Electronics,4,New & Curious,-0.5482275661789106,-1.425083280040172
CUST00434,41,82.4,9.5,4.0,143.0,112.42,At-Risk / Dormant,Female,Electronics,0,At-Risk / Dormant,-0.9194341384099457,2.4799814636514985
CUST00260,26,37.8,36.5,13.0,29.0,45.38,Steady Regulars,Female,Home & Living,1,Steady Regulars,-0.956230075691139,-1.0269259734531142
CUST00368,20,34.6,47.0,6.0,96.0,35.57,Budget Browsers,Male,Electronics,3,Budget Browsers,-1.8110211624137822,-0.9108396732652628
CUST00533,49,64.4,4.1,3.0,156.0,73.94,At-Risk / Dormant,Female,Home & Living,0,At-Risk / Dormant,-1.7327917781389794,2.620062378374994
CUST00585,18,65.7,63.0,11.0,13.0,30.45,New & Curious,Female,Electronics,4,New & Curious,-0.307570980115992,-1.7173965353867433
CUST00084,38,87.2,76.7,24.0,18.0,128.48,High-Value Loyalists,Male,Electronics,2,High-Value Loyalists,2.359574988094431,0.03877740992740423
CUST00438,54,80.7,22.6,8.0,126.0,74.68,At-Risk / Dormant,Male,Beauty,0,At-Risk / Dormant,-0.576583906875214,2.4962306139694226
CUST00625,30,69.3,81.8,9.0,23.0,33.91,New & Curious,Male,Electronics,4,New & Curious,0.16997933907780827,-1.1454435250604365
CUST00510,56,64.2,19.6,4.0,162.0,96.77,At-Risk / Dormant,Male,Sports,0,At-Risk / Dormant,-1.0699539791519859,2.9733388145078234
CUST00080,28,103.2,73.9,25.0,27.0,135.77,High-Value Loyalists,Female,Electronics,2,High-Value Loyalists,2.481679406971028,-0.13054298743056522
CUST00024,32,99.1,100.0,32.0,28.0,154.59,High-Value Loyalists,Male,Beauty,2,High-Value Loyalists,3.5311385392577783,-0.31297561402352525
